Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
1,RECTYPE,Record type (1=mainstream school; 2=special school; 4=local authority; 5=National (all schools); 7=National (maintained schools)),,,,,
2,ALPHAIND,Alphabetic sorting index,,,Yes,Yes,Yes
3,LEA,Local authority code (see separate list of local authorities and their codes),,,,Yes,Yes
4,ESTAB,Establishment number,,,Yes,Yes,Yes
5,URN,School Unique Reference Number,,,Yes,Yes,Yes
6,SCHNAME,School name,,,Yes,Yes,Yes
7,SCHNAME_AC,School now known as (used if the school has converted to an academy on or after 12 Sept 2015),,,Yes,Yes,Yes
8,ADDRESS1,School address (1),,,Yes,Yes,Yes
9,ADDRESS2,School address (2),,,Yes,Yes,Yes
10,ADDRESS3,School address (3),,,Yes,Yes,Yes
11,TOWN,School town,,,Yes,Yes,Yes
12,PCODE,School postcode,,,Yes,Yes,Yes
13,TELNUM,School telephone number,,,Yes,Yes,Yes
14,CONTFLAG,Contingency flag - school results 'significantly affected'. This field is zero for all schools.,,,Yes,Yes,Yes
15,ICLOSE,Closed school flag (0=open; 1=closed),,,Yes,Yes,Yes
16,NFTYPE,School type (see separate list of abbreviations used in the tables),,,Yes,Yes,Yes
17,RELDENOM,School religious character,,,Yes,Yes,Yes
18,ADMPOL,School admissions policy (self-declared by schools on Edubase),,,Yes,Yes,Yes
19,ADMPOL_2017,School admissions policy as in KS4 SFR from 2017 onwards See 'abbrevations' document for more informaton.,,,Yes,Yes,Yes
20,EGENDER,School gender of entry,,,Yes,Yes,Yes
21,FEEDER,Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes),,,Yes,Yes,Yes
22,TABKS2,Indicates whether school is published in the primary school (key stage 2) performance tables (0=No; 1=Yes),,,Yes,Yes,Yes
23,TAB1618,Indicates whether school is published in the school and college (16-18) performance tables (0=No; 1=Yes),,,Yes,Yes,Yes
24,AGERANGE,Age range,,,Yes,Yes,Yes
25,CONFEXAM,Indicates whether the school has checked its results (R=No; blank=Yes),,,Yes,Yes,Yes
26,TOTPUPS,Number of pupils on roll (all ages),,,,,
27,NUMBOYS,Total boys on roll (including part-time pupils),,,,,
28,NUMGIRLS,Total girls on roll (including part-time pupils),,,,,
29,TPUP,Number of pupils at the end of key stage 4,,,,,
30,BPUP,Number of boys at the end of key stage 4,,,,,
31,PBPUP,Percentage of pupils at the end of key stage 4 who are boys,,,,,
32,GPUP,Number of girls at the end of key stage 4,,,,,
33,PGPUP,Percentage of pupils at the end key stage 4 who are girls,,,,,
34,KS2APS,Key stage 2 Average Points Score of the cohort at the end of key stage 4,,,,Yes,
35,TPRIORLO,Number of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2,,,,Yes,
36,PTPRIORLO,Percentage of pupils at the end of key stage 4 with low prior attainment at the end of key stage 2,,,,Yes,
37,TPRIORAV,Number of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2,,,,Yes,
38,PTPRIORAV,Percentage of pupils at the end of key stage 4 with middle prior attainment at the end of key stage 2,,,,Yes,
39,TPRIORHI,Number of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2,,,,Yes,
40,PTPRIORHI,Percentage of pupils at the end of key stage 4 with high prior attainment at the end of key stage 2,,,,Yes,
41,TFSM6CLA1A,Number of disadvantaged pupils at the end of key stage 4,,,,Yes,
42,PTFSM6CLA1A,Percentage of pupils at the end of key stage 4 who are disadvantaged,,,,Yes,
43,TNOTFSM6CLA1A,Number of non-disadvantaged pupils at the end of key stage 4,,,,Yes,
44,PTNOTFSM6CLA1A,Percentage of pupils at the end of key stage 4 who are not disadvantaged,,,,Yes,
45,TEALGRP2,Number of pupils at the end of key stage 4 with English as additional language (EAL),,,,Yes,
46,PTEALGRP2,Percentage of pupils at the end of key stage 4 with English as additional language (EAL),,,,Yes,
47,TEALGRP1,Number of pupils at the end of key stage 4 with English as their first language,,,,Yes,
48,PTEALGRP1,Percentage of pupils at the end of key stage 4 with English as their first language,,,,Yes,
49,TEALGRP3,Number of pupils at the end of key stage 4 whose first language is unclassified,,,,Yes,
50,PTEALGRP3,Percentage of pupils at the end of key stage 4 whose first language is unclassified,,,,Yes,
51,TNMOB,Number of pupils at the end of key stage 4 who are non-mobile,,,,Yes,
52,PTNMOB,Percentage of pupils at the end of key stage 4 who are non-mobile,,,,Yes,
53,SENSE4,"Number of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan",,Yes,,Yes,
54,PSENSE4,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) with a statement or Education, health and care (EHC) plan",,Yes,,Yes,
55,SENAPK4,"Number of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan",,Yes,,Yes,
56,PSENAPK4,"Percentage of pupils at the end of key stage 4 with special educational needs (SEN) without a statement or Education, health and care (EHC) plan",,Yes,,Yes,
57,TOTATT8,Total sum of Attainment 8 scores,,,,,
58,ATT8SCR,Average Attainment 8 score per pupil,,,,,
59,TOTATT8ENG,Total sum of Attainment 8 scores for English element,,,,,
60,ATT8SCRENG,Average Attainment 8 score per pupil for English element,,,,,
61,TOTATT8MAT,Total sum of Attainment 8 scores for mathematics element,,,,,
62,ATT8SCRMAT,Average Attainment 8 score per pupil for mathematics element,,,,,
63,TOTATT8EBAC,Total sum of Attainment 8 scores for EBacc element,,,,,
64,ATT8SCREBAC,Average Attainment 8 score per pupil for EBacc element,,,,,
65,TOTATT8OPEN,Total sum of Attainment 8 scores for open element,,,,,
66,ATT8SCROPEN,Average Attainment 8 score per pupil for open element,,,,,
67,TOTATT8OPENG,Total sum of Attainment 8 scores for open element - GCSE only,,,,,
68,ATT8SCROPENG,Average Attainment 8 score per pupil for open element - GCSE only,,,,,
69,TOTATT8OPENNG,Total sum of Attainment 8 scores for open element - non-GCSE only,,,,,
70,ATT8SCROPENNG,Average Attainment 8 score per pupil for open element - non-GCSE only,,,,,
71,AVGEBACFILL,Average number of EBacc slots filled in Attainment 8 per pupil,,,,,
72,AVGOPENFILL,Average number of Open slots filled in Attainment 8 per pupil,,,,,
73,P8PUP,Number of pupils included in Progress 8 measure,,,,Yes,
74,TP8ADJ,Number of pupils who have had P8 score adjusted in average,Yes - see 2018 methodology sheet for methodology change,,,Yes,
75,P8MEACOV,Percentage of pupils at the end of key stage 4 included in Progress 8 measure,,,,Yes,
76,P8MEA,Progress 8 measure after adjustment for extreme scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
77,P8CILOW,Progress 8 lower 95% confidence interval for adjusted average,Yes - see 2018 methodology sheet for methodology change,,,Yes,
78,P8CIUPP,Progress 8 upper 95% confidence interval for adjusted average,Yes - see 2018 methodology sheet for methodology change,,,Yes,
79,P8MEA_ORIG,Progress 8 measure based on unadjusted pupil scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
80,P8CILOW_ORIG,Progress 8 lower 95% confidence interval for unadjusted average,Yes - see 2018 methodology sheet for methodology change,,,Yes,
81,P8CIUPP_ORIG,Progress 8 upper 95% confidence interval for unadjusted average,Yes - see 2018 methodology sheet for methodology change,,,Yes,
82,P8MEAENG,Progress 8 measure for English element,,,,Yes,
83,P8MEAENG_CILOW,Lower 95% confidence interval for Progress 8 English element,,,,Yes,Yes
84,P8MEAENG_CIUPP,Upper 95% confidence interval for Progress 8 English element,,,,Yes,Yes
85,P8MEAMAT,Progress 8 measure for mathematics element,,,,Yes,
86,P8MEAMAT_CILOW,Lower 95% confidence interval for Progress 8 maths element,,,,Yes,Yes
87,P8MEAMAT_CIUPP,Upper 95% confidence interval for Progress 8 maths element,,,,Yes,Yes
88,P8MEAEBAC,Progress 8 measure for EBacc element,,,,Yes,
89,P8MEAEBAC_CILOW,Lower 95% confidence interval for Progress 8 EBacc element,,,,Yes,Yes
90,P8MEAEBAC_CIUPP,Upper 95% confidence interval for Progress 8 EBacc element,,,,Yes,Yes
91,P8MEAOPEN,Progress 8 measure for open element,,,,Yes,
92,P8MEAOPEN_CILOW,Lower 95% confidence interval for Progress 8 open element,,,,Yes,Yes
93,P8MEAOPEN_CIUPP,Upper 95% confidence interval for Progress 8 open element,,,,Yes,Yes
94,PTL2BASICS_94,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
95,PTL2BASICS_95,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
97,TOTEBACCAPS,Total EBacc APS score per pupil,,,,,
98,EBACCAPS,Average EBacc APS score per pupil,,,,,
99,EBACCAPS_FSM6CLA1A,Average EBacc APS score per disadvantaged pupil,,,,,
100,EBACCAPS_NFSM6CLA1A,Average EBacc APS score per non-disadvantaged pupil,,,,,
101,EBACCAPS_LO,Average EBacc APS score per pupil with low prior attainment,,,,,
102,EBACCAPS_AV,Average EBacc APS score per pupil with middle prior attainment,,,,,
103,EBACCAPS_HI,Average EBacc APS score per pupil with high prior attainment,,,,,
104,EBACCAPS_EAL,Average EBacc APS score per pupil for whom English is an additional language,,,,,
105,EBACCAPS_GIRLS,Average EBacc APS score per girl,,,,,
106,EBACCAPS_BOYS,Average EBacc APS score per boy,,,,,
107,EBACCAPS_NMOB,Average EBacc APS score per non-mobile pupil,,,,,
108,TEBACC_E_PTQ_EE,Number of key stage 4 pupils with entries in all English Baccalaureate subject areas,,,,,
109,PTEBACC_E_PTQ_EE,Percentage of key stage 4 pupils with entries in all English Baccalaureate subject areas,,,,,
110,PTEBACC_94,Percentage of pupils achieving the English Baccalaureate with 9-4/A*-C passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
111,PTEBACC_95,Percentage of pupils achieving the English Baccalaureate with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,Yes,
112,TEBACENG_E_PTQ_EE,Number of pupils entering the English Baccalaureate English subject area,,,,,
113,PTEBACENG_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate English subject area,,,,,
114,TEBACMAT_E_PTQ_EE,Number of pupils entering the English Baccalaureate Maths subject area,,,,,
115,PTEBACMAT_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate Maths subject area,,,,,
116,TEBAC2SCI_E_PTQ_EE,Number of pupils entering the English Baccalaureate Science subject area,,,,,
117,PTEBAC2SCI_E_PTQ_EE,% of pupils entering the Ebacc Science subject area,,,,,
118,TEBACHUM_E_PTQ_EE,Number of pupils entering EBacc Humanities subject area,,,,,
119,PTEBACHUM_E_PTQ_EE,% of pupils entering the Ebacc Humanities subject area,,,,,
120,TEBACLAN_E_PTQ_EE,Number of pupils entering EBacc Language subject area,,,,,
121,PTEBACLAN_E_PTQ_EE,% of pupils entering the Ebacc Language subject area,,,,,
122,PTEBACENG_94,% of pupils achieving the EBacc English subject area with a standard 9-4 pass,Yes - see 2017 methodology sheet for methodology change,,,,
123,PTEBACENG_95,% of pupils achieving the EBacc English subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
124,PTEBACMAT_94, % of pupils achieving the EBacc Maths subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
125,PTEBACMAT_95, % of pupils achieving the EBacc Maths subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
126,PTEBAC2SCI_94, % of entered pupils achieving the EBacc Science subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
127,PTEBAC2SCI_95, % of entered pupils achieving the EBacc Science subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
128,PTEBACHUM_94, % of entered pupils achieving the EBacc Humanities subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
129,PTEBACHUM_95, % of entered pupils achieving the EBacc Humanities subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
130,PTEBACLAN_94, % of entered pupils achieving the EBacc Language subject area with a 9-4/A*-C pass,Yes - see 2018 methodology sheet for methodology change,,,,
131,PTEBACLAN_95, % of entered pupils achieving the EBacc Language subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
132,SCIVACOV_PTQ_EE,Coverage of the English Baccalaureate Science Value Added indicators of those who entered for science,,,Yes,Yes,Yes
133,HUMVACOV_PTQ_EE,Coverage of the English Baccalaureate Humanities Value Added indicators of those who entered for humanities,,,Yes,Yes,Yes
134,LANVACOV_PTQ_EE,Coverage of the English Baccalaureate Language Value Added indicators of those who entered for languages,,,Yes,Yes,Yes
135,SCIVAMEA_PTQ_EE,English Baccalaureate Science Value Added measure,,,Yes,Yes,Yes
136,SCIVALOW_PTQ_EE,English Baccalaureate Science Value Added lower 95% confidence limit,,,Yes,Yes,Yes
137,SCIVAUPP_PTQ_EE,English Baccalaureate Science Value Added upper 95% confidence limit,,,Yes,Yes,Yes
138,HUMVAMEA_PTQ_EE,EBacc Humanities VA measure,,,,,
139,HUMVALOW_PTQ_EE,English Baccalaureate Humanities Value Added lower 95% confidence limit,,,Yes,Yes,Yes
140,HUMVAUPP_PTQ_EE,English Baccalaureate Humanities Value Added upper 95% confidence limit,,,Yes,Yes,Yes
141,LANVAMEA_PTQ_EE,English Baccalaureate Languages Value Added measure,,,Yes,Yes,Yes
142,LANVALOW_PTQ_EE,English Baccalaureate Languages Value Added lower 95% confidence limit,,,Yes,Yes,Yes
143,LANVAUPP_PTQ_EE,English Baccalaureate Languages Value Added upper 95% confidence limit,,,Yes,Yes,Yes
144,TEBACENG_94,Number of pupils achieving EBacc English subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
145,TEBACENG_95,Number of pupils achieving EBacc English subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
146,TEBACMAT_94,Number of pupils achieving EBacc Maths subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
147,TEBACMAT_95,Number of pupils achieving EBacc Maths subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
148,TEBAC2SCI_94,Number of pupils achieving EBacc Science subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
149,TEBAC2SCI_95,Number of pupils achieving EBacc Science subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
150,TEBACHUM_94,Number of pupils achieving EBacc Humanities subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
151,TEBACHUM_95,Number of pupils achieving EBacc Humanities subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
152,TEBACLAN_94,Number of pupils achieving EBacc Language subject area with a 9-4/A*-C pass,Yes - see 2018 methodology sheet for methodology change,,,,
153,TEBACLAN_95,Number of pupils achieving EBacc Language subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
154,TEBACC91,Number of pupils achieving the English Baccalaureate at grades 9-1,,,,,
155,PTEBACC91, % of pupils achieving the English Baccalaureate at grades 9-1 ,,,,,
156,TEBACENG91,Number of pupils achieving EBacc English subject area at grade 9-1,,,,,
157,PTEBACENG91,% of pupils achieving the EBacc English subject area at grade 9-1,,,,,
158,TEBACMAT91,Number of pupils achieving EBacc Maths subject area at grade 9-1,,,,,
159,PTEBACMAT91, % of pupils achieving the EBacc Maths subject area at grade 9-1,,,,,
160,TEBAC2SCI91,Number of pupils achieving EBacc Science subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
161,PTEBAC2SCI91, % entered pupils achieving the EBacc Science subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
162,TEBACHUM91,Number of pupils achieving EBacc Humanities subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
163,PTEBACHUM91, % entered pupils achieving the EBacc Humanities subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
164,TEBACLAN91,Number of pupils achieving EBacc Language subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
165,PTEBACLAN91, % of entered pupils achieving the EBacc Language subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
166,ATT8SCR_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil,,,,Yes,
167,P8PUP_FSM6CLA1A,Number of disadvantaged pupils in Progress 8 measure,,,,Yes,
168,TP8ADJ_FSM6CLA1A,Number of disadvantaged pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
169,P8MEA_FSM6CLA1A,Adjusted Progress 8 measure - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
170,P8CILOW_FSM6CLA1A,Adjusted Progress 8 lower 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
171,P8CIUPP_FSM6CLA1A,Adjusted Progress 8 upper 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
172,P8MEA_FSM6CLA1A_ORIG,Unadjusted Progress 8 measure - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
173,P8CILOW_FSM6CLA1A_ORIG,Unadjusted Progress 8 lower 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
174,P8CIUPP_FSM6CLA1A_ORIG,Unadjusted Progress 8 upper 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
175,ATT8SCR_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil,,,,Yes,
176,P8PUP_NFSM6CLA1A,Number of non-disadvantaged pupils in Progress 8 measure,,,,Yes,
177,TP8ADJ_NFSM6CLA1A,Number of non-disadvantaged pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
178,P8MEA_NFSM6CLA1A,Adjusted Progress 8 measure - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
179,P8CILOW_NFSM6CLA1A,Progress 8 lower 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
180,P8CIUPP_NFSM6CLA1A,Progress 8 upper 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
181,P8MEA_NFSM6CLA1A_ORIG,Unadjusted Progress 8 measure - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
182,P8CILOW_NFSM6CLA1A_ORIG,Unadjusted Progress 8 lower 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
183,P8CIUPP_NFSM6CLA1A_ORIG,Unadjusted Progress 8 upper 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
184,ATT8SCRENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for English element,,,,Yes,
185,P8MEAENG_FSM6CLA1A,Progress 8 measure for English element - disadvantaged pupils,,,,Yes,
186,P8MEAENG_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,
187,P8MEAENG_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,
188,ATT8SCRMAT_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for mathematics element,,,,Yes,
189,P8MEAMAT_FSM6CLA1A,Progress 8 measure for maths element - disadvantaged pupils,,,,Yes,
190,P8MEAMAT_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,
191,P8MEAMAT_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,
192,ATT8SCREBAC_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for EBacc element,,,,Yes,
193,P8MEAEBAC_FSM6CLA1A,Progress 8 measure for EBacc element - disadvantaged pupils,,,,Yes,
194,P8MEAEBAC_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 EBacc element for disadvantaged pupils,,,,Yes,
